Date Part,Data Value,Date (Months),Date (Quarters),Date (Years),Date,Indicator (group),Indicator1,Month,Number of Records,State Name1,Year
1/1/2015,4201,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Alaska,2015
1/1/2016,4261,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Alaska,2016
1/1/2017,4274,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Alaska,2017
1/1/2015,121,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Alaska,2015
1/1/2016,138,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Alaska,2016
1/1/2017,121,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Alaska,2017
1/1/2015,50658,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Alabama,2015
1/1/2016,50613,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Alabama,2016
1/1/2017,51985,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Alabama,2017
1/1/2015,756,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Alabama,2015
1/1/2016,674,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Alabama,2016
1/1/2017,799,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Alabama,2017
1/1/2015,30722,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Arkansas,2015
1/1/2016,30434,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Arkansas,2016
1/1/2017,31529,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Arkansas,2017
1/1/2015,391,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Arkansas,2015
1/1/2016,369,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Arkansas,2016
1/1/2017,391,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Arkansas,2017
1/1/2015,53462,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Arizona,2015
1/1/2016,56648,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Arizona,2016
1/1/2017,57008,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Arizona,2017
1/1/2015,1209,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Arizona,2015
1/1/2016,1370,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Arizona,2016
1/1/2017,1423,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Arizona,2017
1/1/2015,254838,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,California,2015
1/1/2016,261467,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,California,2016
1/1/2017,266877,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,California,2017
1/1/2015,4604,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,California,2015
1/1/2016,4844,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,California,2016
1/1/2017,4662,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,California,2017
1/1/2015,36816,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Colorado,2015
1/1/2016,37504,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Colorado,2016
1/1/2017,38474,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Colorado,2017
1/1/2015,921,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Colorado,2015
1/1/2016,935,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Colorado,2016
1/1/2017,994,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Colorado,2017
1/1/2015,126,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Connecticut,2015
1/1/2016,197,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Connecticut,2016
1/1/2017,277,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Connecticut,2017
1/1/2015,309,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Connecticut,2015
1/1/2016,462,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Connecticut,2016
1/1/2017,472,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Connecticut,2017
1/1/2015,62,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Connecticut,2015
1/1/2016,72,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Connecticut,2016
1/1/2015,8577,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Delaware,2015
1/1/2017,85,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Connecticut,2017
1/1/2015,174,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Connecticut,2015
1/1/2016,188,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Connecticut,2016
1/1/2017,214,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Connecticut,2017
1/1/2015,30508,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Connecticut,2015
1/1/2016,30188,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Connecticut,2016
1/1/2017,31259,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Connecticut,2017
1/1/2015,670,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Connecticut,2015
1/1/2016,909,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Connecticut,2016
1/1/2017,1048,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Connecticut,2017
1/1/2015,567,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Connecticut,2015
1/1/2016,810,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Connecticut,2016
1/1/2017,932,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Connecticut,2017
1/1/2015,99.85074627,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Connecticut,2015
1/1/2016,99.559956,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Connecticut,2016
1/1/2017,99.80916031,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Connecticut,2017
1/1/2015,14,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Connecticut,2015
1/1/2016,23,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Connecticut,2016
1/1/2017,30,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Connecticut,2017
1/1/2015,123,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Connecticut,2015
1/1/2016,369,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Connecticut,2016
1/1/2017,603,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Connecticut,2017
1/1/2015,5678,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,District of Columbia,2015
1/1/2016,5731,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,District of Columbia,2016
1/1/2017,6318,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,District of Columbia,2017
1/1/2015,119,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,District of Columbia,2015
1/1/2016,208,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,District of Columbia,2016
1/1/2017,337,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,District of Columbia,2017
1/1/2016,8571,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Delaware,2016
1/1/2017,9100,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Delaware,2017
1/1/2015,199,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Delaware,2015
1/1/2016,221,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Delaware,2016
1/1/2017,313,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Delaware,2017
1/1/2015,193387,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Florida,2015
1/1/2016,196273,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Florida,2016
1/1/2017,202309,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Florida,2017
1/1/2015,2983,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Florida,2015
1/1/2016,3843,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Florida,2016
1/1/2017,5654,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Florida,2017
1/1/2015,79559,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Georgia,2015
1/1/2016,80535,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Georgia,2016
1/1/2017,82833,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Georgia,2017
1/1/2015,1311,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Georgia,2015
1/1/2016,1279,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Georgia,2016
1/1/2017,1472,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Georgia,2017
1/1/2015,11100,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Hawaii,2015
1/1/2016,10901,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Hawaii,2016
1/1/2017,11381,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Hawaii,2017
1/1/2015,147,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Hawaii,2015
1/1/2016,194,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Hawaii,2016
1/1/2017,187,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Hawaii,2017
1/1/2015,29533,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Iowa,2015
1/1/2016,28863,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Iowa,2016
1/1/2017,30210,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Iowa,2017
1/1/2015,289,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Iowa,2015
1/1/2016,310,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Iowa,2016
1/1/2017,333,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Iowa,2017
1/1/2015,12831,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Idaho,2015
1/1/2016,13221,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Idaho,2016
1/1/2017,13577,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Idaho,2017
1/1/2015,217,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Idaho,2015
1/1/2016,216,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Idaho,2016
1/1/2017,232,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Idaho,2017
1/1/2015,104648,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Illinois,2015
1/1/2016,103275,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Illinois,2016
1/1/2017,105678,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Illinois,2017
1/1/2015,1766,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Illinois,2015
1/1/2016,2213,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Illinois,2016
1/1/2017,2461,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Illinois,2017
1/1/2015,63517,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Indiana,2015
1/1/2016,62648,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Indiana,2016
1/1/2017,65875,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Indiana,2017
1/1/2015,1217,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Indiana,2015
1/1/2016,1354,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Indiana,2016
1/1/2017,1714,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Indiana,2017
1/1/2015,25657,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Kansas,2015
1/1/2016,25353,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Kansas,2016
1/1/2017,26080,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Kansas,2017
1/1/2015,330,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Kansas,2015
1/1/2016,319,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Kansas,2016
1/1/2017,297,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Kansas,2017
1/1/2015,45839,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Kentucky,2015
1/1/2016,46456,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Kentucky,2016
1/1/2017,48229,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Kentucky,2017
1/1/2015,1198,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Kentucky,2015
1/1/2016,1371,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Kentucky,2016
