No detailed data,Map VITT Title 'Opioid Overdoses',Numbers or Popluation,by Population,Data Value,Indicator,Map VITT Title ' | All Other Drug Overdoses',Month,Population Estimate,Ratio,State Name,Year
This state does not record overdose causes and has not been included in the medicaid analysis section,,163.9059422,163.9059422,799,Number of Drug Overdose Deaths,,June,4874747,163.9059422,Alabama,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,163.5588237,163.5588237,121,Number of Drug Overdose Deaths,,June,739795,163.5588237,Alaska,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,202.8143159,202.8143159,1423,Number of Drug Overdose Deaths,,June,7016270,202.8143159,Arizona,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,130.1476993,130.1476993,391,Number of Drug Overdose Deaths,,June,3004279,130.1476993,Arkansas,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,117.9158995,117.9158995,4662,Number of Drug Overdose Deaths,,June,39536653,117.9158995,California,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,177.2735331,177.2735331,994,Number of Drug Overdose Deaths,,June,5607154,177.2735331,Colorado,2017
,"
Opioid Overdoses",292.0697489,292.0697489,1048,Number of Drug Overdose Deaths, | All Other Drug Overdoses,June,3588184,292.0697489,Connecticut,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,325.3844579,325.3844579,313,Number of Drug Overdose Deaths,,June,961939,325.3844579,Delaware,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,485.6103704,485.6103704,337,Number of Drug Overdose Deaths,,June,693972,485.6103704,District of Columbia,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,269.4382494,269.4382494,5654,Number of Drug Overdose Deaths,,June,20984400,269.4382494,Florida,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,141.1397553,141.1397553,1472,Number of Drug Overdose Deaths,,June,10429379,141.1397553,Georgia,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,130.9947616,130.9947616,187,Number of Drug Overdose Deaths,,June,1427538,130.9947616,Hawaii,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,135.1238801,135.1238801,232,Number of Drug Overdose Deaths,,June,1716943,135.1238801,Idaho,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,192.2352428,192.2352428,2461,Number of Drug Overdose Deaths,,June,12802023,192.2352428,Illinois,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,257.094164,257.094164,1714,Number of Drug Overdose Deaths,,June,6666818,257.094164,Indiana,2017
This state does not record overdose causes and has not been included in the medicaid analysis section,,105.8584212,105.8584212,333,Number of Drug Overdose Deaths,,June,3145711,105.8584212,Iowa,2017
